Point #0: x=586.8056030273438, y=-10.063207626342773, z=0.29999998211860657, yaw=-179.58056640625
Point #1: x=584.8312377929688, y=-13.57775592803955, z=0.29999998211860657, yaw=-179.58056640625
Point #2: x=586.8568725585938, y=-17.06301498413086, z=0.29999998211860657, yaw=-179.58056640625
Point #3: x=584.8824462890625, y=-20.577577590942383, z=0.29999998211860657, yaw=-179.58056640625
Point #4: x=586.9081420898438, y=-24.062835693359375, z=0.29999998211860657, yaw=-179.58056640625
Point #5: x=570.8946533203125, y=-10.179685592651367, z=0.29999998211860657, yaw=-179.58056640625
Point #6: x=568.9202880859375, y=-13.694232940673828, z=0.29999998211860657, yaw=-179.58056640625
Point #7: x=570.9459838867188, y=-17.17949104309082, z=0.29999998211860657, yaw=-179.58056640625
Point #8: x=122.57339477539062, y=52.25875473022461, z=0.29999998211860657, yaw=-0.0539550743997097
Point #9: x=120.27010345458984, y=48.76090621948242, z=0.29999998211860657, yaw=-0.0539550743997097
Point #10: x=122.56680297851562, y=45.25875473022461, z=0.29999998211860657, yaw=-0.0539550743997097
Point #11: x=120.26351165771484, y=41.76091384887695, z=0.29999998211860657, yaw=-0.0539550743997097
Point #12: x=180.13221740722656, y=52.207763671875, z=0.29999998211860657, yaw=-0.0539550743997097
Point #13: x=177.72894287109375, y=48.70999526977539, z=0.29999998211860657, yaw=-0.0539550743997097
Point #14: x=180.12564086914062, y=45.207763671875, z=0.29999998211860657, yaw=-0.0539550743997097
Point #15: x=177.7223358154297, y=41.709999084472656, z=0.29999998211860657, yaw=-0.0539550743997097
Point #16: x=568.9714965820312, y=-20.694059371948242, z=0.29999998211860657, yaw=-179.58056640625
Point #17: x=570.9971923828125, y=-24.179317474365234, z=0.29999998211860657, yaw=-179.58056640625
Point #18: x=551.3529663085938, y=-10.322742462158203, z=0.29999998211860657, yaw=-179.58056640625
Point #19: x=549.3786010742188, y=-13.837289810180664, z=0.29999998211860657, yaw=-179.58056640625
Point #20: x=551.404296875, y=-17.322547912597656, z=0.29999998211860657, yaw=-179.58056640625
Point #21: x=549.4298095703125, y=-20.837121963500977, z=0.29999998211860657, yaw=-179.58056640625
Point #22: x=551.4555053710938, y=-24.32238006591797, z=0.29999998211860657, yaw=-179.58056640625
Point #23: x=533.6279296875, y=-10.452512741088867, z=0.29999998211860657, yaw=-179.58056640625
Point #24: x=531.653564453125, y=-13.967060089111328, z=0.29999998211860657, yaw=-179.58056640625
Point #25: x=533.6792602539062, y=-17.45231819152832, z=0.29999998211860657, yaw=-179.58056640625
Point #26: x=531.7047729492188, y=-20.966886520385742, z=0.29999998211860657, yaw=-179.58056640625
Point #27: x=533.73046875, y=-24.452144622802734, z=0.29999998211860657, yaw=-179.58056640625
Point #28: x=585.4452514648438, y=251.7255859375, z=0.29999998211860657, yaw=0.01954599842429161
Point #29: x=587.6464233398438, y=248.2263946533203, z=0.29999998211860657, yaw=0.01954599842429161
Point #30: x=585.4476318359375, y=244.7255859375, z=0.29999998211860657, yaw=0.01954599842429161
Point #31: x=587.6488037109375, y=241.2263946533203, z=0.29999998211860657, yaw=0.01954599842429161
Point #32: x=585.4500122070312, y=237.7255859375, z=0.29999998211860657, yaw=0.01954599842429161
Point #33: x=319.91168212890625, y=-24.102149963378906, z=0.29999998211860657, yaw=179.79132080078125
Point #34: x=322.22442626953125, y=-20.610544204711914, z=0.29999998211860657, yaw=179.79132080078125
Point #35: x=319.9371643066406, y=-17.10218620300293, z=0.29999998211860657, yaw=179.79132080078125
Point #36: x=322.2499084472656, y=-13.610580444335938, z=0.29999998211860657, yaw=179.79132080078125
Point #37: x=335.1343688964844, y=-24.157609939575195, z=0.29999998211860657, yaw=179.79132080078125
Point #38: x=337.4471130371094, y=-20.66600227355957, z=0.29999998211860657, yaw=179.79132080078125
Point #39: x=335.15985107421875, y=-17.157634735107422, z=0.29999998211860657, yaw=179.79132080078125
Point #40: x=337.47259521484375, y=-13.66602897644043, z=0.29999998211860657, yaw=179.79132080078125
Point #41: x=351.4617004394531, y=-24.217079162597656, z=0.29999998211860657, yaw=179.79132080078125
Point #42: x=353.7744445800781, y=-20.725473403930664, z=0.29999998211860657, yaw=179.79132080078125
Point #43: x=351.4871826171875, y=-17.217098236083984, z=0.29999998211860657, yaw=179.79132080078125
Point #44: x=353.7999572753906, y=-13.725491523742676, z=0.29999998211860657, yaw=179.79132080078125
Point #45: x=368.1413269042969, y=-24.277822494506836, z=0.29999998211860657, yaw=179.79132080078125
Point #46: x=370.45404052734375, y=-20.78621482849121, z=0.29999998211860657, yaw=179.79132080078125
Point #47: x=368.1667785644531, y=-17.27784538269043, z=0.29999998211860657, yaw=179.79132080078125
Point #48: x=370.47955322265625, y=-13.786239624023438, z=0.29999998211860657, yaw=179.79132080078125
Point #49: x=380.10113525390625, y=-24.32137107849121, z=0.29999998211860657, yaw=179.79132080078125
Point #50: x=382.4138488769531, y=-20.82976531982422, z=0.29999998211860657, yaw=179.79132080078125
Point #51: x=380.1265869140625, y=-17.3214054107666, z=0.29999998211860657, yaw=179.79132080078125
Point #52: x=382.4393615722656, y=-13.82979679107666, z=0.29999998211860657, yaw=179.79132080078125
Point #53: x=397.38970947265625, y=-24.384342193603516, z=0.29999998211860657, yaw=179.79132080078125
Point #54: x=399.70245361328125, y=-20.892736434936523, z=0.29999998211860657, yaw=179.79132080078125
Point #55: x=397.4151916503906, y=-17.384370803833008, z=0.29999998211860657, yaw=179.79132080078125
Point #56: x=399.72796630859375, y=-13.892763137817383, z=0.29999998211860657, yaw=179.79132080078125
Point #57: x=411.8306579589844, y=-24.436941146850586, z=0.29999998211860657, yaw=179.79132080078125
Point #58: x=414.1434020996094, y=-20.94533348083496, z=0.29999998211860657, yaw=179.79132080078125
Point #59: x=411.8561096191406, y=-17.436969757080078, z=0.29999998211860657, yaw=179.79132080078125
Point #60: x=-194.02877807617188, y=-11.64040756225586, z=0.29999998211860657, yaw=179.48191833496094
Point #61: x=-192.96041870117188, y=-15.150213241577148, z=0.29999998211860657, yaw=179.48191833496094
Point #62: x=-194.09207153320312, y=-18.640121459960938, z=0.29999998211860657, yaw=179.48191833496094
Point #63: x=-193.02371215820312, y=-22.149927139282227, z=0.29999998211860657, yaw=179.48191833496094
Point #64: x=414.16888427734375, y=-13.945362091064453, z=0.29999998211860657, yaw=179.79132080078125
Point #65: x=428.07867431640625, y=-24.496118545532227, z=0.29999998211860657, yaw=179.79132080078125
Point #66: x=430.3913879394531, y=-21.0045108795166, z=0.29999998211860657, yaw=179.79132080078125
Point #67: x=428.1041259765625, y=-17.496143341064453, z=0.29999998211860657, yaw=179.79132080078125
Point #68: x=430.4169006347656, y=-14.004535675048828, z=0.29999998211860657, yaw=179.79132080078125
Point #69: x=443.69952392578125, y=-24.553016662597656, z=0.29999998211860657, yaw=179.79132080078125
Point #70: x=446.01226806640625, y=-21.061410903930664, z=0.29999998211860657, yaw=179.79132080078125
Point #71: x=-177.83035278320312, y=48.95231246948242, z=0.29999998211860657, yaw=-0.02313232235610485
Point #72: x=-180.3289337158203, y=52.45331573486328, z=0.29999998211860657, yaw=-0.02313232235610485
Point #73: x=-177.83316040039062, y=41.95231246948242, z=0.29999998211860657, yaw=-0.02313232235610485
Point #74: x=-180.33175659179688, y=45.45331573486328, z=0.29999998211860657, yaw=-0.02313232235610485
Point #75: x=-213.91412353515625, y=48.95231246948242, z=0.29999998211860657, yaw=-0.02313232235610485
Point #76: x=-185.1403350830078, y=145.63742065429688, z=0.29999998211860657, yaw=-179.86563110351562
Point #77: x=-187.53211975097656, y=142.13180541992188, z=0.29999998211860657, yaw=-179.86563110351562
Point #78: x=-185.12391662597656, y=138.637451171875, z=0.29999998211860657, yaw=-179.86563110351562
Point #79: x=-187.51571655273438, y=135.13182067871094, z=0.29999998211860657, yaw=-179.86563110351562
Point #80: x=443.7249755859375, y=-17.55303382873535, z=0.29999998211860657, yaw=179.79132080078125
Point #81: x=446.0377502441406, y=-14.06142520904541, z=0.29999998211860657, yaw=179.79132080078125
Point #82: x=570.5172729492188, y=251.7205047607422, z=0.29999998211860657, yaw=0.01954599842429161
Point #83: x=572.7184448242188, y=248.22132873535156, z=0.29999998211860657, yaw=0.01954599842429161
Point #84: x=-216.01271057128906, y=52.45313262939453, z=0.29999998211860657, yaw=-0.02313232235610485
Point #85: x=-213.91693115234375, y=41.95231246948242, z=0.29999998211860657, yaw=-0.02313232235610485
Point #86: x=-216.01551818847656, y=45.45313262939453, z=0.29999998211860657, yaw=-0.02313232235610485
Point #87: x=-113.62220764160156, y=-22.41105079650879, z=0.29999998211860657, yaw=179.79132080078125
Point #88: x=-114.70945739746094, y=-18.901124954223633, z=0.29999998211860657, yaw=179.79132080078125
Point #89: x=-113.59671020507812, y=-15.41109848022461, z=0.29999998211860657, yaw=179.79132080078125
Point #90: x=-114.6839599609375, y=-11.901171684265137, z=0.29999998211860657, yaw=179.79132080078125
Point #91: x=-70.18195343017578, y=-22.41105079650879, z=0.29999998211860657, yaw=179.79132080078125
Point #92: x=-71.26915740966797, y=-18.901124954223633, z=0.29999998211860657, yaw=179.79132080078125
Point #93: x=-70.15645599365234, y=-15.41109848022461, z=0.29999998211860657, yaw=179.79132080078125
Point #94: x=-71.24365997314453, y=-11.901171684265137, z=0.29999998211860657, yaw=179.79132080078125
Point #95: x=-99.96104431152344, y=145.8459930419922, z=0.29999998211860657, yaw=-179.86563110351562
Point #96: x=-97.55281829833984, y=142.3516387939453, z=0.29999998211860657, yaw=-179.86563110351562
Point #97: x=-99.94461822509766, y=138.8460235595703, z=0.29999998211860657, yaw=-179.86563110351562
Point #98: x=-97.53641510009766, y=135.35165405273438, z=0.29999998211860657, yaw=-179.86563110351562
Point #99: x=-68.40711975097656, y=145.84716796875, z=0.29999998211860657, yaw=-179.86563110351562
Point #100: x=-66.49889373779297, y=142.3516387939453, z=0.29999998211860657, yaw=-179.86563110351562
Point #101: x=-68.39069366455078, y=138.84719848632812, z=0.29999998211860657, yaw=-179.86563110351562
Point #102: x=-66.48249053955078, y=135.35165405273438, z=0.29999998211860657, yaw=-179.86563110351562
Point #103: x=245.62684631347656, y=52.34755325317383, z=0.29999998211860657, yaw=-0.02789306640625
Point #104: x=242.9251708984375, y=48.84886932373047, z=0.29999998211860657, yaw=-0.02789306640625
Point #105: x=245.6234588623047, y=45.34755325317383, z=0.29999998211860657, yaw=-0.02789306640625
Point #106: x=242.9217529296875, y=41.84886932373047, z=0.29999998211860657, yaw=-0.02789306640625
Point #107: x=477.0477600097656, y=52.232093811035156, z=0.29999998211860657, yaw=-0.02789306640625
Point #108: x=478.74609375, y=48.73126220703125, z=0.29999998211860657, yaw=-0.02789306640625
Point #109: x=477.04437255859375, y=45.232093811035156, z=0.29999998211860657, yaw=-0.02789306640625
Point #110: x=478.74267578125, y=41.73126220703125, z=0.29999998211860657, yaw=-0.02789306640625
Point #111: x=477.04095458984375, y=38.232093811035156, z=0.29999998211860657, yaw=-0.02789306640625
Point #112: x=524.8232421875, y=52.70916748046875, z=0.29999998211860657, yaw=-0.02789306640625
Point #113: x=524.8161010742188, y=38.209171295166016, z=0.29999998211860657, yaw=-0.02789306640625
Point #114: x=525.7178344726562, y=41.7087287902832, z=0.29999998211860657, yaw=-0.02789306640625
Point #115: x=524.819580078125, y=45.20916748046875, z=0.29999998211860657, yaw=-0.02789306640625
Point #116: x=525.7212524414062, y=48.7087287902832, z=0.29999998211860657, yaw=-0.02789306640625
Point #117: x=449.4063720703125, y=151.89027404785156, z=0.29999998211860657, yaw=0.23475703597068787
Point #118: x=451.4206848144531, y=148.39849853515625, z=0.29999998211860657, yaw=0.23475703597068787
Point #119: x=449.4350280761719, y=144.8903350830078, z=0.29999998211860657, yaw=0.23475703597068787
Point #120: x=451.4493713378906, y=141.3985595703125, z=0.29999998211860657, yaw=0.23475703597068787
Point #121: x=449.4637145996094, y=137.89039611816406, z=0.29999998211860657, yaw=0.23475703597068787
Point #122: x=203.7692108154297, y=150.95819091796875, z=0.29999998211860657, yaw=0.23475703597068787
Point #123: x=205.383544921875, y=147.46478271484375, z=0.29999998211860657, yaw=0.23475703597068787
Point #124: x=203.79788208007812, y=143.958251953125, z=0.29999998211860657, yaw=0.23475703597068787
Point #125: x=205.41224670410156, y=140.46484375, z=0.29999998211860657, yaw=0.23475703597068787
Point #126: x=203.8265838623047, y=136.95831298828125, z=0.29999998211860657, yaw=0.23475703597068787
Point #127: x=466.1037292480469, y=52.23743438720703, z=0.29999998211860657, yaw=-0.02789306640625
Point #128: x=467.80206298828125, y=48.73660659790039, z=0.29999998211860657, yaw=-0.02789306640625
Point #129: x=466.100341796875, y=45.23743438720703, z=0.29999998211860657, yaw=-0.02789306640625
Point #130: x=467.7986755371094, y=41.73660659790039, z=0.29999998211860657, yaw=-0.02789306640625
Point #131: x=466.0969543457031, y=38.23744201660156, z=0.29999998211860657, yaw=-0.02789306640625
Point #132: x=454.3258056640625, y=52.2431526184082, z=0.29999998211860657, yaw=-0.02789306640625
Point #133: x=456.0241394042969, y=48.74232482910156, z=0.29999998211860657, yaw=-0.02789306640625
Point #134: x=454.3224182128906, y=45.2431526184082, z=0.29999998211860657, yaw=-0.02789306640625
Point #135: x=456.0207214355469, y=41.74232482910156, z=0.29999998211860657, yaw=-0.02789306640625
Point #136: x=454.3190002441406, y=38.24318313598633, z=0.29999998211860657, yaw=-0.02789306640625
Point #137: x=442.5973205566406, y=52.24886703491211, z=0.29999998211860657, yaw=-0.02789306640625
Point #138: x=444.49566650390625, y=48.74794006347656, z=0.29999998211860657, yaw=-0.02789306640625
Point #139: x=442.59393310546875, y=45.24886703491211, z=0.29999998211860657, yaw=-0.02789306640625
Point #140: x=444.49224853515625, y=41.74794006347656, z=0.29999998211860657, yaw=-0.02789306640625
Point #141: x=442.5905456542969, y=38.2488899230957, z=0.29999998211860657, yaw=-0.02789306640625
Point #142: x=429.94036865234375, y=52.25501251220703, z=0.29999998211860657, yaw=-0.02789306640625
Point #143: x=431.8387145996094, y=48.754085540771484, z=0.29999998211860657, yaw=-0.02789306640625
Point #144: x=429.9369812011719, y=45.25501251220703, z=0.29999998211860657, yaw=-0.02789306640625
Point #145: x=431.8352966308594, y=41.754085540771484, z=0.29999998211860657, yaw=-0.02789306640625
Point #146: x=429.93359375, y=38.25506591796875, z=0.29999998211860657, yaw=-0.02789306640625
Point #147: x=413.1789855957031, y=52.26319122314453, z=0.29999998211860657, yaw=-0.02789306640625
Point #148: x=415.0773010253906, y=48.762264251708984, z=0.29999998211860657, yaw=-0.02789306640625
Point #149: x=413.1755676269531, y=45.26319122314453, z=0.29999998211860657, yaw=-0.02789306640625
Point #150: x=415.0738830566406, y=41.762264251708984, z=0.29999998211860657, yaw=-0.02789306640625
Point #151: x=413.17218017578125, y=38.26324462890625, z=0.29999998211860657, yaw=-0.02789306640625
Point #152: x=398.97808837890625, y=52.27012634277344, z=0.29999998211860657, yaw=-0.02789306640625
Point #153: x=400.87640380859375, y=48.76919937133789, z=0.29999998211860657, yaw=-0.02789306640625
Point #154: x=398.97467041015625, y=45.27012634277344, z=0.29999998211860657, yaw=-0.02789306640625
Point #155: x=400.87298583984375, y=41.76919937133789, z=0.29999998211860657, yaw=-0.02789306640625
Point #156: x=398.9712829589844, y=38.27016067504883, z=0.29999998211860657, yaw=-0.02789306640625
Point #157: x=386.0475769042969, y=52.276424407958984, z=0.29999998211860657, yaw=-0.02789306640625
Point #158: x=387.9458923339844, y=48.77549743652344, z=0.29999998211860657, yaw=-0.02789306640625
Point #159: x=386.0441589355469, y=45.276424407958984, z=0.29999998211860657, yaw=-0.02789306640625
Point #160: x=387.9425048828125, y=41.77549743652344, z=0.29999998211860657, yaw=-0.02789306640625
Point #161: x=386.040771484375, y=38.276458740234375, z=0.29999998211860657, yaw=-0.02789306640625
Point #162: x=372.28631591796875, y=52.28312683105469, z=0.29999998211860657, yaw=-0.02789306640625
Point #163: x=374.18463134765625, y=48.78219985961914, z=0.29999998211860657, yaw=-0.02789306640625
Point #164: x=372.2829284667969, y=45.28313064575195, z=0.29999998211860657, yaw=-0.02789306640625
Point #165: x=374.1812438964844, y=41.78219985961914, z=0.29999998211860657, yaw=-0.02789306640625
Point #166: x=372.2795104980469, y=38.28316879272461, z=0.29999998211860657, yaw=-0.02789306640625
Point #167: x=359.45159912109375, y=52.28937530517578, z=0.29999998211860657, yaw=-0.02789306640625
Point #168: x=361.34991455078125, y=48.78844451904297, z=0.29999998211860657, yaw=-0.02789306640625
Point #169: x=359.44818115234375, y=45.28937530517578, z=0.29999998211860657, yaw=-0.02789306640625
Point #170: x=361.3465270996094, y=41.78844451904297, z=0.29999998211860657, yaw=-0.02789306640625
Point #171: x=359.4447937011719, y=38.2894287109375, z=0.29999998211860657, yaw=-0.02789306640625
Point #172: x=343.5854187011719, y=52.297119140625, z=0.29999998211860657, yaw=-0.02789306640625
Point #173: x=345.4837341308594, y=48.79619216918945, z=0.29999998211860657, yaw=-0.02789306640625
Point #174: x=343.58203125, y=45.297119140625, z=0.29999998211860657, yaw=-0.02789306640625
Point #175: x=345.4803466796875, y=41.79619216918945, z=0.29999998211860657, yaw=-0.02789306640625
Point #176: x=343.57861328125, y=38.29716110229492, z=0.29999998211860657, yaw=-0.02789306640625
Point #177: x=104.37179565429688, y=-23.31709861755371, z=0.29999998211860657, yaw=179.79132080078125
Point #178: x=105.88452911376953, y=-19.82257080078125, z=0.29999998211860657, yaw=179.79132080078125
Point #179: x=104.39729309082031, y=-16.317136764526367, z=0.29999998211860657, yaw=179.79132080078125
Point #180: x=105.91002655029297, y=-12.822619438171387, z=0.29999998211860657, yaw=179.79132080078125
Point #181: x=79.75064086914062, y=-23.227426528930664, z=0.29999998211860657, yaw=179.79132080078125
Point #182: x=80.96337127685547, y=-19.731809616088867, z=0.29999998211860657, yaw=179.79132080078125
Point #183: x=79.77613830566406, y=-16.227468490600586, z=0.29999998211860657, yaw=179.79132080078125
Point #184: x=80.9888687133789, y=-12.731857299804688, z=0.29999998211860657, yaw=179.79132080078125
Point #185: x=49.72724914550781, y=-23.118078231811523, z=0.29999998211860657, yaw=179.79132080078125
Point #186: x=51.139984130859375, y=-19.62319564819336, z=0.29999998211860657, yaw=179.79132080078125
Point #187: x=49.75274658203125, y=-16.118125915527344, z=0.29999998211860657, yaw=179.79132080078125
Point #188: x=51.16548156738281, y=-12.62324333190918, z=0.29999998211860657, yaw=179.79132080078125
Point #189: x=269.1795349121094, y=151.032470703125, z=0.29999998211860657, yaw=0.23475703597068787
Point #190: x=270.79388427734375, y=147.5390625, z=0.29999998211860657, yaw=0.23475703597068787
Point #191: x=269.2082214355469, y=144.03253173828125, z=0.29999998211860657, yaw=0.23475703597068787
Point #192: x=270.82257080078125, y=140.53912353515625, z=0.29999998211860657, yaw=0.23475703597068787
